iter	Passed	Remaining
0	6	6560
1	14	7240
2	20	6955
3	26	6719
4	33	6577
5	38	6371
6	45	6448
7	51	6370
8	56	6205
9	61	6060
10	64	5843
11	69	5685
12	73	5545
13	77	5453
14	80	5313
15	84	5180
16	88	5091
17	91	4997
18	94	4899
19	98	4821
20	101	4735
21	105	4705
22	109	4639
23	112	4585
24	116	4532
25	119	4485
26	123	4439
27	127	4409
28	130	4368
29	134	4356
30	138	4317
31	141	4289
32	145	4255
33	149	4239
34	152	4210
35	156	4182
36	159	4159
37	163	4142
38	167	4115
39	170	4097
40	174	4070
41	177	4049
42	182	4057
43	186	4047
44	190	4043
45	194	4038
46	197	4014
47	201	3997
48	205	3980
49	208	3962
50	212	3945
51	215	3929
52	220	3935
53	224	3924
54	227	3913
55	231	3899
56	235	3888
57	238	3879
58	242	3869
59	246	3860
60	249	3846
61	253	3831
62	256	3822
63	259	3802
64	263	3795
65	267	3781
66	271	3778
67	275	3769
68	278	3761
69	282	3749
70	285	3741
71	289	3731
72	293	3722
73	296	3713
74	300	3711
75	304	3699
76	308	3692
77	311	3681
78	315	3673
79	318	3665
80	322	3653
81	325	3648
82	329	3635
83	333	3633
84	336	3622
85	340	3613
86	343	3604
87	347	3604
88	351	3598
89	355	3591
90	358	3581
91	362	3582
92	367	3580
93	371	3575
94	374	3567
95	378	3560
96	382	3556
97	385	3548
98	389	3541
99	392	3535
100	396	3527
101	399	3519
102	402	3509
103	406	3502
104	410	3498
105	414	3497
106	418	3493
107	422	3485
108	425	3482
109	429	3472
110	432	3466
111	436	3458
112	440	3454
113	443	3447
114	447	3441
115	450	3434
116	454	3430
117	457	3423
118	461	3416
119	464	3408
120	468	3403
121	472	3400
122	475	3393
123	479	3389
124	483	3384
125	487	3379
126	490	3373
127	494	3366
128	498	3362
129	502	3360
130	505	3354
131	510	3353
132	513	3349
133	518	3349
134	521	3344
135	525	3340
136	529	3335
137	533	3332
138	536	3324
139	541	3324
140	545	3321
141	548	3316
142	553	3314
143	557	3311
144	561	3309
145	565	3306
146	568	3301
147	572	3298
148	576	3295
149	580	3290
150	584	3286
151	588	3280
152	591	3275
153	595	3270
154	599	3268
155	603	3263
156	606	3257
157	610	3254
158	615	3254
159	619	3251
160	625	3257
161	629	3258
162	634	3259
163	643	3280
164	648	3283
165	658	3308
166	663	3308
167	668	3309
168	673	3310
169	676	3303
170	679	3295
171	682	3286
172	686	3281
173	689	3275
174	692	3266
175	695	3257
176	698	3250
177	702	3245
178	705	3236
179	708	3226
180	711	3218
181	714	3211
182	717	3205
183	721	3200
184	724	3191
185	727	3184
186	730	3175
187	732	3163
188	734	3153
189	736	3141
190	740	3134
191	742	3124
192	745	3117
193	747	3107
194	750	3099
195	753	3089
196	754	3077
197	757	3068
198	759	3056
199	761	3047
200	764	3039
201	766	3028
202	769	3021
203	771	3009
204	773	2998
205	775	2989
206	778	2980
207	780	2972
208	782	2962
209	785	2955
210	788	2948
211	791	2940
212	793	2933
213	797	2927
214	800	2922
215	803	2916
216	811	2927
217	826	2965
218	830	2960
219	833	2954
220	840	2963
221	847	2969
222	853	2973
223	860	2980
224	865	2981
225	873	2993
226	877	2988
227	881	2985
228	889	2993
229	893	2989
230	897	2987
231	902	2989
232	907	2988
233	912	2986
234	918	2988
235	922	2985
236	925	2979
237	929	2976
238	934	2975
239	938	2970
240	941	2966
241	945	2961
242	950	2961
243	954	2958
244	958	2955
245	963	2954
246	968	2951
247	972	2947
248	974	2940
249	978	2934
250	980	2925
251	983	2917
252	984	2908
253	988	2901
254	990	2894
255	993	2888
256	996	2879
257	999	2873
258	1001	2866
259	1004	2857
260	1006	2849
261	1008	2841
262	1016	2847
263	1033	2881
264	1040	2886
265	1044	2881
266	1047	2876
267	1051	2872
268	1055	2868
269	1058	2862
270	1062	2857
271	1065	2852
272	1069	2848
273	1073	2843
274	1077	2839
275	1080	2834
276	1084	2830
277	1087	2824
278	1091	2819
279	1094	2814
280	1098	2809
281	1102	2805
282	1105	2800
283	1108	2795
284	1112	2790
285	1115	2783
286	1118	2778
287	1121	2772
288	1140	2805
289	1145	2804
290	1149	2801
291	1153	2797
292	1157	2793
293	1161	2788
294	1164	2783
295	1168	2778
296	1171	2773
297	1175	2768
298	1178	2763
299	1181	2757
300	1184	2750
301	1187	2743
302	1190	2738
303	1193	2732
304	1196	2726
305	1199	2721
306	1203	2716
307	1209	2718
308	1224	2737
309	1235	2749
310	1238	2743
311	1240	2736
312	1244	2731
313	1247	2726
314	1251	2720
315	1254	2714
316	1257	2709
317	1260	2704
318	1264	2698
319	1267	2693
320	1270	2687
321	1273	2681
322	1277	2676
323	1280	2671
324	1283	2666
325	1287	2662
326	1294	2664
327	1301	2665
328	1304	2660
329	1307	2655
330	1311	2650
331	1314	2645
332	1317	2639
333	1320	2633
334	1324	2628
335	1327	2623
336	1330	2617
337	1332	2610
338	1336	2606
339	1339	2600
340	1342	2595
341	1346	2590
342	1349	2584
343	1352	2579
344	1362	2586
345	1377	2603
346	1385	2607
347	1388	2601
348	1391	2594
349	1393	2588
350	1395	2580
351	1398	2574
352	1401	2569
353	1404	2562
354	1406	2555
355	1410	2551
356	1413	2545
357	1416	2540
358	1419	2535
359	1423	2530
360	1426	2525
361	1430	2520
362	1433	2515
363	1437	2510
364	1444	2513
365	1461	2531
366	1469	2535
367	1473	2530
368	1476	2524
369	1479	2519
370	1482	2513
371	1486	2509
372	1490	2504
373	1493	2500
374	1496	2494
375	1500	2490
376	1503	2485
377	1507	2479
378	1510	2474
379	1513	2469
380	1516	2464
381	1520	2459
382	1523	2454
383	1526	2449
384	1530	2445
385	1540	2450
386	1552	2459
387	1556	2454
388	1559	2449
389	1562	2444
390	1566	2439
391	1569	2434
392	1572	2429
393	1576	2424
394	1579	2419
395	1583	2415
396	1587	2410
397	1590	2406
398	1594	2401
399	1597	2396
400	1601	2391
401	1604	2387
402	1608	2382
403	1611	2377
404	1615	2372
405	1618	2367
406	1622	2363
407	1625	2358
408	1628	2353
409	1631	2348
410	1634	2342
411	1638	2338
412	1641	2332
413	1644	2327
414	1648	2323
415	1651	2318
416	1657	2316
417	1672	2328
418	1682	2332
419	1684	2325
420	1686	2318
421	1687	2311
422	1689	2304
423	1691	2297
424	1693	2290
425	1695	2284
426	1698	2278
427	1700	2272
428	1703	2266
429	1705	2260
430	1707	2254
431	1710	2248
432	1713	2243
433	1715	2237
434	1718	2231
435	1721	2226
436	1723	2219
437	1725	2214
438	1727	2208
439	1730	2202
440	1733	2197
441	1736	2191
442	1748	2198
443	1751	2193
444	1755	2189
445	1759	2185
446	1764	2182
447	1767	2178
448	1771	2173
449	1774	2168
450	1778	2164
451	1781	2160
452	1786	2156
453	1789	2152
454	1793	2148
455	1797	2144
456	1801	2140
457	1811	2143
458	1837	2165
459	1845	2166
460	1848	2161
461	1853	2157
462	1856	2153
463	1860	2149
464	1864	2145
465	1868	2141
466	1871	2136
467	1875	2131
468	1879	2128
469	1885	2125
470	1893	2126
471	1916	2143
472	1920	2140
473	1926	2137
474	1930	2133
475	1935	2130
476	1940	2127
477	1945	2124
478	1950	2121
479	1959	2122
480	1963	2118
481	1968	2115
482	1972	2111
483	1977	2108
484	1982	2104
485	1986	2100
486	1992	2099
487	2000	2098
488	2006	2097
489	2012	2094
490	2019	2093
491	2026	2092
492	2033	2090
493	2042	2092
494	2048	2089
495	2053	2086
496	2059	2084
497	2065	2082
498	2072	2080
499	2079	2079
500	2088	2080
501	2095	2078
502	2100	2075
503	2106	2072
504	2113	2071
505	2124	2073
506	2140	2081
507	2149	2081
508	2157	2081
509	2163	2078
510	2169	2075
511	2176	2074
512	2183	2072
513	2190	2071
514	2197	2069
515	2202	2066
516	2208	2063
517	2213	2059
518	2223	2060
519	2230	2058
520	2235	2055
521	2241	2052
522	2246	2048
523	2250	2044
524	2254	2040
525	2259	2036
526	2263	2031
527	2268	2027
528	2272	2023
529	2276	2018
530	2280	2014
531	2285	2010
532	2289	2005
533	2293	2001
534	2296	1996
535	2301	1991
536	2304	1986
537	2307	1981
538	2311	1976
539	2315	1972
540	2319	1967
541	2323	1963
542	2327	1958
543	2331	1954
544	2335	1949
545	2339	1945
546	2343	1941
547	2348	1936
548	2352	1932
549	2355	1927
550	2360	1923
551	2364	1918
552	2368	1914
553	2371	1909
554	2376	1905
555	2379	1900
556	2383	1895
